reviewer_name,review_date,review_content
Shooq q,26-Feb,"Lovely hotel, very good staff and a close mention of Staff Mohamed for his pleasant room service. Thank you and your gentlemen"
Ahlam A,26-Feb,"Great accommodation and excellent service A special thanks to Anouar from Laundry for his quick, efficient and outstanding service His expertise was crucial"
Camper49668736081,26-Feb,Praise to Allah and thank Muhammad Khamal al-Khamal. Value Rooms Location Cleanliness Service Sleep Quality
J A,26-Feb,"Marian Anwar was really nice and friendly , I wanted my thob ironed fast and he finished it in less than 15 mins."
Shakeeb P,26-Feb,"The overall service was really nice at the hotel. Room service, Suhoor and Iftar at the restaurant and the blazing fast laundry service. Special mention to Anwar from the laundry team. The golf cart is available all the time with waiting time in a few minutes to take you to the haram which makes it really convenient for families. Overall the experience was really good!!! Insider tip: There is a bit of walking so remember to take the shuttle service. Value Rooms Location Cleanliness Service Sleep Quality"
202ahmedi,26-Feb,"First : they support as fast as possible to make early chicken for you to have your rest , service is professional , reception team is friendly, laundry service is fast as more than you expect specially Marawan anour fast and polite, supportive as generally this what you expect from Marriott even in high season if it’s your choice, you will always be happy"
H A,26-Feb,Marwan anwar laundry guy was the best he was helpful and always smiling and is respectful so much.
Ismayil Y,26-Feb,"Very friendly staff, delicious food. Specially thanks to Ms Afrah for kind assistance Value Rooms Location Cleanliness Service Sleep Quality"
Saad A,26-Feb,"I used a laundry machine and made the staff member Mruan Anur, honesty high in ethics and quick service and was careful to deliver the clothes. God does it well and writes his reward"
Mustafa K,26-Feb,Marwan Anwar Excellent Service I got from laundry On time. Insider tip: Marwan Anwar Excellent Service I got laundry On time Rooms Location Service
???? ?,26-Feb,Thank to younes anwar from the laundry for his quick efficient
Cruiser57885223125,26-Feb,Excellent Service Mohamed Kamal Special Laundry Value Rooms Location Cleanliness Service Sleep Quality
ahmed a,26-Feb,Morocco Announcer has done the ethics of laundry services.
Salman S,26-Feb,"Marriott Makkah Younis Anwarullah, excellent service from the laundry Value Rooms Location Cleanliness Service Sleep Quality"
Haja N,26-Feb,The food was awesome. And the service level is excellent. Mamunur Rasheed was so caring. And Mohamed Haleem helped me a lot. They both made my breakfast experience excellent.
Tayyab H,26-Feb,"Tried breakfast in both restaurants (Olive and spice market). Restaurant manager Asad Ali greeted us like royalty and was unbelievably polite, attentive and respectful. He’s the reason I decided to take time for a detailed review. Got to see their F&B Manager who was equally gentle, friendly and respectful. Room was spacious and super comfortable. Bed layout was fantastic. To/From Haram transport service is 5-Star. Always available 24/7 without having to wait. It’s better than the chauffeur service actually! Very clean and service staff super polite and amazing attitude. Noise level almost close to zero. Atmosphere overall - 10/10! Absolute value for money. Value Rooms Location Cleanliness Service Sleep Quality"
Hauwa I,26-Feb,I had a great stay here! Thank you for wonderful service Mamunur Rashid especially!
Hamza Z,26-Feb,Asad - manager at Mariott Makkah Jabal Al Omar - Has been great with great hospitality and mannerisms Value Rooms Location Cleanliness Service Sleep Quality
Irfaan Bankur,26-Feb,"I had an amazing stay at Makkah Marriott Hotel Jabal Omar during my Umrah, and it truly made the experience even more special. From the moment I arrived, everything was excellent. The hotel is very comfortable and well-organized, and the staff are incredibly kind, respectful, and always ready to help. One feature I really loved was the QR code system for room service and delivery — it was so convenient and modern, especially after long days. The Friday buffet was absolutely awesome, with a great variety of delicious food, and everything was fresh and well-prepared. The coffee was also very nice — perfect for relaxing and recharging. Overall, I had the best time at this hotel. A wonderful place to stay during Umrah, with great service, great food, and genuinely kind people. Highly recommended. ??"
widya s,26-Feb,"all good, the service. cleanliness. the staff restaurant service is lovely and super nice, always smileee especially, Ms. Hilda Arlindia. Value Rooms Location Cleanliness Service Sleep Quality"
Habiba A,26-Feb,"The supervisor Mr Samir is kind and very considerate to guests. Mamunur Rashid, very smart and helpful during breakfast."
papeabdou b,26-Feb,The staff is very helpful and the breakfast fabulous. Special mention to Mamunur Rashid of breakfast service. Value Rooms Location Cleanliness Service Sleep Quality
Emad A,26-Feb,It is a great service and very very friendly staff
Khawar H,26-Feb,"A brilliant hotel. The restaurant on the 1st floor was excellent. The location was decent, the buggy and shuttle service to the Haram was very good."
Mohsin Z,26-Feb,"Special thanks to Mohd Asad - restaurant Manager, Chefs Mohd Zubair and Ghulam. Amazing hospitality experience!! The way we weee treated made us feel special and will definitely come again IA."
Yass,26-Feb,"I had a very pleasant stay at the Marriott Hotel Jabal Omar. From check-in to check-out, everything went smoothly. The hotel is well managed, comfortable, and the overall organization is excellent. The staff truly deserve special praise — everyone was professional, kind, and attentive. I would especially like to mention Yaser Mansoor from the breakfast team, who went above and beyond in taking care of guests and ensuring everyone felt welcome. His service really stood out and reflects very positively on the hotel. However, I must highlight one major issue that caused significant inconvenience. The adhan system inside the hotel was not working for two days, and there was no communication or notice provided to inform guests. As a result, I had to rely on going directly to Masjid al-Haram to ensure I did not miss prayers. For a hotel in this location, serving pilgrims, this lack of communication was a serious problem and should be addressed. Aside from this issue, my experience was excellent, largely thanks to the outstanding staff. With better communication around essential religious services, this hotel would easily offer a near-perfect stay. Value Rooms Location Service Sleep Quality"
Happiness48872835787,26-Feb,Mammon elrashed is very helper and he is good man I think the Mr. Samir make a good job Thank you all of staff
Mohammed B,26-Feb,"It has been an amazing pleasure staying here, staff was top notch and the food was spectacular. Mr Samir & Mamunur Rashid were 10/10 in regards to service & kindness."
Voyage14379163888,26-Feb,Very friendly and welcoming workers with amazing customer service and the food was a big selection and very delicious.
Qabirul A,26-Feb,"Blessings from Allah SWT! This is my first visit to Saudi Arabia. Makkah was the first city I stayed in for my Umrah with my family. The Jabal Omar Marriott Hotel truly makes my religious stay complete with no negative comments. The staff cater to all your Umrah needs making sure the stay is pleasant and facilitates in every manner possible so that one is able to carry out Umrah at any time of the day. The staff are very friendly, courteous and dedicated to their work, so much so one feels the tranquility being in this holy city. This hotel prepares one for their Umrah/ Haj, making sure their guests are supported in every way possible. I also celebrated my wife's birthday and the Umrah was her birthday gift. Furthermore, the hotel guest relations staff, Najd, prepared a trolley with cakes, balloons, Arabic coffee, dates ect, to make the celebration with my family and auspicious occasion. This was truly a very kind complimentary gesture from the hotel which made the day. The cleaning staff, Eman, Md Salim, Ibrahim made sure the rooms were cleaned thoroughly everyday. Other staff like Ali at the buffet reception, Marion Zamzami at reception were so kind and catered to our family needs. Praise Allah SWT for such a lovely stay. Love this hotel and would stay here again. You should too if you come to Makkah. Insider tip: Just make your request at the reception, they will help you 100% within their capability. Transport to the mosque and back is provided with less than a minute's wait."
Fatima B,26-Feb,"Transportation was provided , cleaning service staff and receptionist staff are always accomdating. Love how there’s a prayer room on the 3rd floor. Overall, great experience and would definitely rebook again. I reccomended this hotel already to my extended family for future visits in sha Allah. Value Rooms Location Cleanliness Service Sleep Quality"
Mohamadou B,26-Feb,Alhamdullilah. Everything in this hotel was wonderful. Staff took very good care of us. The food was wonderful and the transportation to haram was well needed. The room was clean and wonderful. Would recommend this hotel for sure and will be back to this one In Sha Allah. Value Rooms Location Cleanliness Service Sleep Quality
Nadeem R,26-Jan,Excellent service especially from mr. manunur Rashid. The food was great. The rooms were great. All the staff were great. Definitely recommend for everyone
Mohamed E,26-Jan,"Caffe at the lobby very professional , service customer service the best service I ever had in Marriott chain My thanks goes to Aya Al Ashtar her professional and friendly attitude made the different and make me feel home Million thanks goes to Chief Ahmed brakat Pizza I eat from his made better than any pizza I eat before even in Italy and USA great chief very professional Thank you so much Aya and Ahmed you made the different for me and made me carry a pleasent memory of great Marriott staff"
Abdul M,26-Jan,Good morning everyone Sincere hotel and very nice clean served well Both as a room and kitchen Above all the Service of the boys serving educai top I met a boy called Mamunur rashid That's always around whatever you need it brings Breakfast and dinner Really good You have buses and bas to do 100 meters of road if you have one of the family who can not do 100euro meters from al haram Bagnio desabele from for everything 5 lift uni staircase I will definitely return inchalah I recommend you take it No it costs nothing much With 80euro I eat I'm my family There are 5 of us I recommend it
Basel K,26-Jan,"Although they canceled our reservation even though we already paid (a person called Marwan Abdeen), the reception team and the duty Manager Sami handled the issue like a pros. Sami reinstated our reservation and made it up for us. The service is great, everyone in Olive restaurant is great (particularly the server Mamunur Rashid who was a hero). The food is good and they are very accommodating. Value Rooms Location Cleanliness Service Sleep Quality"
Khaled I,26-Jan,"Really my vision of old 5 stars hotels in makkah changed after I stayed here , the hotel standard is high , from beautiful lobby to modern elevators , also I don’t forget massage chairs in lobby , new design , room very comfortable, beds are nice , customer service stuff always ask about your comfortable, shuttle bus very fast and much convenient, also there is another option of golf car , walking also nearby , close to all services , easy access area in Makkah , with my appreciation of the management ."
Yusuf H,26-Jan,Best top service by mamnur rashid Deserves a raise mashallah
Haych.H,26-Jan,"Me and my family stayed here and had such a lovely time whilst visiting Makkah. They had transport which is free and apart of the hotel to take you to Masjid Al-Haram or if you prefer, it is just a minute or two of a walk. We had partial Al-Haram view from our room and we absolutely loved it. The staff were so lovely and polite - I also met a lovely member of staff that worked at the food counter, her name is Aya. The most sweetest and kindest soul that I met in my entire stay in Saudi. I could praise her endlessly, for only having met her for such a short period of time she has left such a memorable impression. I hope management know and understand that she is such a valuable asset to the team. Value Rooms Location Cleanliness Service Sleep Quality"
Muhammed S,26-Jan,"A pleasant buffet experience at the Marriott in Mecca, with a good variety of well-prepared dishes in a comfortable setting. The food was enjoyable overall, and the receptionist at the front was courteous and helpful, making the experience feel welcoming."
Omer S,26-Jan,"An excellent buffet experience in the heart of Mecca, offering a wide variety of fresh, high-quality dishes that cater to all tastes. The food was consistently well presented and flavorful, with attentive staff ensuring a smooth and welcoming dining experience. A perfect place to enjoy a satisfying meal in a calm, elegant setting after a long day."
Samir H,26-Jan,"Nice hotel , specious and clean rooms Friendly staff, good food and good transport from and to Haram Close and overlooking Haram ( 5 minutes walking ) Value Rooms Location Cleanliness Service Sleep Quality"
Aisha S,26-Jan,"The hotel is sweet, calm and clean, the breakfast is varied and delicious and the service is sweet, the lounge, the bakeries are delicious and the coffee, and the bar of the Philippine Mirama in Lounge has excellent service and kindness"
Salim E,26-Jan,Excellent hospitality Vey mice location near al haram Transportation secured all the time from hotel to haram We dan pray 5 prayers per day in haram Value Rooms Location Cleanliness Service Sleep Quality
Enas A,26-Jan,.Good and outstanding food Good God. And take the chance to thank you for greeting Abdulah with a good smile Park God in Thank you so much
Elaph A,26-Jan,Good God. Deluxe and delicious bakery specials Reception from sister Aphraah Abdullah was special and very pleasant.
NorthStar58967122241,26-Jan,I thank Marriott Hotel for staying and the staff. More welcoming and more caring than the dedicated staff member.
Kamran N,26-Jan,Mashallah very good customer service. Great location and environment. Would definitely recommend to all. Inshallah will come again
Sherwan M,26-Jan,"Great experience, nice and clean hotel nearby Haram. Stayed here with my family. Hospitality is great. Food is good. Will come back if I have the chance Value Rooms Location Cleanliness Service Sleep Quality"
Nadim B,26-Jan,"As usual pleasant and comfortable stay. Everything upto the mark from the hygiene to management. Special mention Brother Rizwan amazing person and assisted out of his limit in the restaurant. Marriott staff just too good. Stay was good and recommend for peaceful umrah stay. Insider tip: Only no shower gel in wash room for 2 days, rest all perfect Value Rooms Location Cleanliness Service Sleep Quality"
Discover812436,26-Jan,The service from check in to breakfast and lounge was extraordinary. Merhama made me feel welcome in the lounge on sharing what the hotel offers and how to visit the Haram. I would return again! Value Rooms Location Cleanliness Service Sleep Quality
Ebrahim B,26-Jan,"Absolutely Fantastic ?? We were served by Mamunur Rashid , an extremely polite and ever willing to assist gentleman .. many thanks to him"
Mohammed A,26-Jan,"We had an amazing experience thanks to our waiter Mamunur Rashid He was incredibly friendly, attentive, and professional from start to finish. He made sure everything was perfect. His positive attitude truly made our meal special. Outstanding service like this deserves recognition—thank you! Value Rooms Location Cleanliness Service Sleep Quality"
nida r,26-Jan,"We had breakfast at the buffet and not only was the food incredible, but the hospitality truly stood out. A special shoutout to Mohammed Haleem, Yaser Mansoor, and Samir Mohammed for being such wonderful hosts and taking such great care of us throughout our breakfast. Truly made the experience memorable."
QuietWealth,25-Dec,Ahmed at the breakfast was amazing. Great service and yummy omelettes. Hotel is well located and rooms were spacey with view
Mohammed Maeez Hoosain,25-Dec,"This Marriott Hotel is around 1km from the Mosque, but there is a golf cart service. The porters, Mohammed Nayem and Saif Alislam were very helpful and offered valuable advice and tips to navigate the city. The arrival was efficiently managed, but the checkout time of 12pm on a Friday is extremely inconvenient, as it coincides with the most important prayer of the week, in the most important city for Muslims. Some concession (to 3pm) should be given for late checkouts, when requested by guests. I was denied this concession and I was deeply disappointed as I was given only 15 minutes to return to the hotel after the prayers ended, and complete the checkout. Restaurant staff were first class, especially Rizwan and Chef Ghulam, and they catered beautifully for suhoor when we wanted to fast on a certain day. Housekeeping were hugely accommodating and attended to unpredictable schedule and needs. For a family room, the size was more adequate but decor and finishings in general, were rather dated. Insider tip: Change dated decor. Water pressure is good but toilet paper stocks run out quickly Value Rooms Location Cleanliness Service Sleep Quality"
Roby Ikhsan,25-Dec,"Sojib has truly gone above and beyond in providing outstanding services. Mr. Semir is doing a fantastic job leading the team, and I genuinely believe he is more than ready to take on the next challenge."
Mo G,25-Dec,"Great stay overall, Everyone was very pleasant and friendly ... entire staff team was extremely accommodating.. Breakfast service on floor 1 was amazing ... my family and I were provided with superb service by everyone especially Mohammed Haleem during our breakfast. He was very helpful, assisted our family and brought over juices and teas to our table. This is our 2nd time here at Jabal Omar Marriott in Makkah, needless to say we will be back here whenever Allah allows us to. Thanks to the entire Jabal Omar Makkah team. Value Rooms Location Cleanliness Service Sleep Quality"
R R,25-Dec,Mamunur Rashid provided excellent service and made us feel comfortable during our entire stay here for the blessed Umrah Insider tip: Business lounge needs to have better supple Value Rooms Location Cleanliness Service Sleep Quality
Ramla J,25-Dec,Mamunar Rashid provided great service during my stay so far in the breakfast lounge. I recommend staying at this hotel.
Stay777785,25-Dec,Mamnur rashid from the service team was assisting us well and the food was amazing from marriot Makkah . Recommend family and couples to visit this place. Value Rooms Location Cleanliness Service Sleep Quality
Ashref M,25-Dec,"Fantastic breakfast at Marriott Jabal Omar Makkah! Samir, Rizwan & Chef Ghulam are stars! Thanks for the extra hot sauce & OJ. Ali at front desk is welcoming. 5-star service! - Makra Family - South Africa"
HARUNA T,25-Dec,absolutely perfect (Afrah Abdullah)service was so Amazing am from Nigeria ???? I really enjoy Marriott wish to be here again someday room no 1029
Sumaya S,25-Dec,Ayah was such an amazing barista. She was so patient with our many requests. This was the best lattes we’ve had since we’ve arrived in saudi. Truly such a wonderful barista. I will be coming back to atrium cafe in marriott jabal omar Value Rooms Location Cleanliness Service Sleep Quality
Moin S,25-Dec,"Kind staff, great fresh food in breakfast buffet. Hotel has a view of the Haram and has a free shuttle to drive to haram 24/7"
???? ?,25-Dec,"Thank you for all her efforts, smile and welcome visitors for God's sake. Once a slave I knew that the city's masters loved serving from the outset and thank you, my Lord approves you ? Value Rooms Location Cleanliness Service Sleep Quality"
Tariq K,25-Dec,Excellent. Mamunur Rashid was very kind and helpful. Extremely nice. The quality of food and the service staff delivered was beyond expectation.
Resort17807768225,25-Dec,Location not far away from Haram .Atmosphere very pleasant with big rooms.Staff always ready to help and amenities well thought about.However breakfast can be improved even though there is a lot of variety. Value Rooms Location Cleanliness Service Sleep Quality
?????? ?,25-Dec,"The hotel is very beautiful, clean and well-appointed. Everything in the apartment and view is beautiful. It's worth checking out ????? and the restaurant is all delicious, available and diverse. I wish you to visit ???? Value Rooms Location Cleanliness Service Sleep Quality"
Mostafa A,25-Dec,Yasser Mansour has been super helpful during our stay! Showed great hospitality and top notch manners and service. Great character Value Rooms Location Cleanliness Service Sleep Quality
Empire Chase,25-Dec,"Excellent service by Mamunur Rashid at Olive Restaurant. Very helpful, attentive. Good was excellent too great service"
Malikah J,25-Dec,"Amazing service, Mamunur Rashid was always at service wherever we needed anything, we had stayed couple days and everyday the staff that were serving made sure we had everything and if anything was wrong it was fixed immediately however there wasn’t any mistakes."
Discover527963,25-Dec,This hotel is stuck in a 1980s time warp. It is bland and luck-lustre with staff who are disinterested and lack enthusiasm. The only exceptions being the gentleman in The Atrium Cafe and the laundry service which was actually quite goid. The main restauramt is of such a poor standard compared to other Marriott hotels. How can you not offer low fat milk at breakfast? Why is there no soya milk? The whole place is bland and lack-lustre. The problem is that they have such a high turnover of Muslim worshippers for Umrah/Haj and there is scant competition so they don't really care about the service. Definitely worth giving this place a miss!! Insider tip: Definitely avoid this place
Natalie S,25-Dec,"Rooms beautiful, very clean, nice atmosphere. Great location close to the Haram. The staff were all very kind. In the Olive restaurant, Mamunur Rashid was very courteous and enthusiastic to help. Value Rooms Location Cleanliness Service Sleep Quality"
Unkown U,25-Dec,Really nice and caring Staff. Clean rooms and building smells nice . All Kitchen staff very kind especially Samir Mohsen Value Rooms Location Cleanliness Service Sleep Quality
Cheick Hussein D,25-Dec,Mamunur Rachid is the best server The breakfast is so delicious and The rom are clean and confortable The hôtel crew are very cool
Mohamed S,25-Dec,Good stuff and beautiful hotel Clean rooms Fantastic food ?? And nearest from haram am happy to stayed here ?? Thank you ?? Value Rooms Location Cleanliness Service Sleep Quality
harrathi e,25-Dec,"Nice experience. We stayed in mariott jabal omar. The hotel is very well located a few meters from the masjid haram. The hotel offers two types of transport a bus and car golf that take turns on the 24 hours. Breakfast is varied and hearty it is several specialities. The spacious and luxurious rooms... A special thank you to all the teams , housekeeping and agents on site who ensured the comfort. Special thank you a mme taif (???) For his professionalism his kindness and benevolence .... Thank you for all you contributed to our happiness and very soon makkah..."
alayyad7,25-Dec,"Everything was beautiful at the hotel, clean service and restaurants were honest. Everything was beautiful and I loved the receptionist Mr. Yasir who had received him from the beginning was great opposite seeing us in the right place Value Rooms Location Cleanliness Service Sleep Quality"
Voyage01073152903,25-Dec,"Thank you for your hospitality and welcome Thank you Mohamed Sameer for your welcome Despite the tiredness of smiles and hospitality, my family was happy. Value Rooms Location Cleanliness Service Sleep Quality"
Ronnie,25-Dec,"Stayed for 4 days for Umrah. Excellent hotel, Rooms and bathroom very clean and spacious. Great proximity to Masjid Haram with shuttle buses and golf cars. Check In was smooth with very courteous staff. Highly recommended and will definitely come back again"
Babar W,25-Nov,Had a wonderful experience at the Marriott buffet. The staff were welcoming and Rafah stood out with her warm and professional service. She made the whole visit feel special and I really appreciated her hospitality. Value Rooms Location Cleanliness Service Sleep Quality
Shaikha B,25-Nov,"Thank you Ali Pinsai and Semir Mohamed for welcoming and hospiting the olive dining restaurant at Jebel Omar Makkah Marriott.... The duty...7 star reception and service wish you good luck and God's joy The hotel is beautiful....just hard for seniors, chronic patients and disabled people it''s located .In a mountain area Thank you so much for all of your travels...out of duty Stayed 25-29 November 2025 Value Rooms Location Cleanliness Service Sleep Quality"
Noura A,25-Nov,"Great deal, great service The perfume is delicious, diverse, and Saudi youth Cool, helpful, and very helpful Thank you for your welcoming and helpful visitors Value Rooms Location Cleanliness Service Sleep Quality"
os A,25-Nov,"Thank you, Professor Amfid, for his warm hospitality and nice reception. He helped me a lot and loved my experience with you so God is happy to serve you back??????"
Mohammed B,25-Nov,"Loved my stay at the hotel, was very well taken care of with the best hospitality from brother MOHAMMED NAYEM from concierge.he was very professional,well behaved and took care of our every needs.Will definitely be booking again and will recommend to family and friends. Appreciate the service, thank you. Value Rooms Location Cleanliness Service Sleep Quality"
Faisal A,25-Nov,"Mr Amjd is one of the most respectful and highly cooperative staff members I have encountered at marriott jabal Omar hotel . His professionalism and courteous manner greatly enhance the guest experience , he prepares exceptional coffee with noticeable quality and attention to detail, He is truly an asset to the hospitality team"
Ada L,25-Nov,"stayed at the Jabal Omar Marriott Hotel in mid-November with friends from all over Bosnia and Herzegovina. The reason was to perform Umrah. The location of the hotel is fantastic. It is only a few minutes walk from the Kaaba, and if you are unable to walk, you can use the free hotel shuttle 24 hours a day. Transportation is provided by small buses from which you can take an elevator to the Haram or by small open cars that drop you off not far from the Haram. The rooms are large, tidy and are maintained every day. The beds are comfortable. The bedding is sparkling white. They have a mini bar, iron, ironing board, hairdryer and clothesline in the bathroom (above the shower). Towels are changed every day and water, coffee and tea are brought. Thank you Bilal for your service. You can hear the call to prayer from the Haram in the room (a special button on the wall). Breakfast is buffet-style and there is something for everyone. There is a wide selection of seafood, freshly prepared eggs in countless ways, cooked dishes (which are not always spicy), at least two soups to choose from, countless sweets, fruit, pudding, detox water, etc. The staff is extremely friendly and helpful. There is a souvenir shop in the lobby that is not overly expensive. There is an option to buy a copy of the Quran that the staff will take to the Haram on your behalf. With the desire to be your guest again, I warmly recommend this hotel."
Freedom65365520246,25-Nov,"Great great service. Everything is on point. Staff are very welcoming, friendly and most important, caring. I would recommend this hotel to anyone who's looking to comic here. ???? ???? ???? ?????? ??? ?????? ??? ? ????? ????? ??? ???. ???? ????? ???????? ?? ?????????? ????? ???????...??????? ?????? ??????. ???? ???? ???? ?????? ???? ???. Insider tip: It's a bit pricey, but worth every penny. Value Rooms Location Cleanliness Service Sleep Quality"
Journey09534888457,25-Nov,"Good welcome and helpful Finalizing your check-in, Rooms very clean and comfortable The restaurant is top-notch and welcomed by the staff and especially the attentive receptionists are very top-notch in dealing with hotel guests ?? Value Rooms Location Cleanliness Service Sleep Quality"
Trail42913389998,25-Nov,"Very nice place and hotel But I ran into a fax scent in the 25th 11th room Instead of asking the staff to clean up any speech that is clean Hopefully more than one bus, we’re sitting long and waiting Value Rooms Location Cleanliness Service Sleep Quality"
Amal A,25-Nov,Amazing I loved it amazing people and amazing staff they were so helpful and sweet and I’ve never experienced a good staff ever I would definitely come back again
Sara M,25-Nov,"It was a really nice residence. Everything was perfect — the reception staff were very kind, the rooms were clean, and the food was high-quality, especially at the Olive Restaurant and the Business Lounge. I wouldn’t hesitate to repeat my visit next year, Insha’Allah Value Rooms Location Cleanliness Service Sleep Quality"
L A,25-Nov,I would like to thank Sameer for his outstanding service and top-notch service. Thank them for their efforts and wish them more success
Culture18478127875,25-Nov,"The restaurant and the venue are excellent and very respectful, appreciated and welcoming. Thank you for your attention and clean the venue Value Rooms Location Cleanliness Service Sleep Quality"
Omar A,25-Nov,"The hotel is excellent, the overall service is excellent and the breakfast service is excellent, especially Sameer Makr. The hotel is excellent, overall service is excellent and breakfast service is excellent, especially Sameer Makar"
Fahad A,25-Nov,"God’s favour of the best of your staff, Samir Mohamed of my ethics and tea is a delicious treat ???? Say goodness to God with ethics, cooking, handling, and fast-preparing in Lakes ????"
Navigate06279796024,25-Nov,"Honestly, the service is generally excellent, especially the breakfast, what an exaggeration if you say the best breakfast buffet and a tribute to Professor Samir Mohamed for his good treatment and professionalism with customers Value Rooms Location Cleanliness Service Sleep Quality"
muhammad b,25-Nov,"It was an amazing experience — everything was beyond perfect. The rooms were spotless, room service was kind and attentive, and every receptionist greeted us with a smile and genuine helpfulness. The Olive Restaurant offered an exceptional dining experience; we truly enjoyed every meal. I wouldn’t hesitate to stay here again next year, in sh?’ All?h. Value Rooms Location Cleanliness Service Sleep Quality"
Bishar H,25-Nov,Great. Courtesy and friendly. AHMED RAGAB FANTASTIC OMELLETE breakfast. Overall Olive cafeteria is wonderful. Memorable stay. Encourage others to enjoy too. Great rooms as well. Value Rooms Location Cleanliness Service Sleep Quality
Ayesha A,25-Nov,"I viseted Marriott Jabal e Omer with my husband for 8 nights in november.. i must say it was a wonderful experience..extremely comfortable, very cooperative staff.. we had absolutely no issues during our stay. The shuttle service goes after every 10 mins to Haram and back Breakfast was delicious..Afrah at the reception was really sweet and helpful. Salah from housekeeping was another really helpful person. InshaAllah will visit again soon Highly recommended! Value Rooms Location Cleanliness Service Sleep Quality"
MD A B,25-Nov,"It was an excellent experience. Samir Fraid was so friendly . Overall, everything was great. At the the same, the room was cleaned and well organized. Value Rooms Location Cleanliness Service Sleep Quality"
Shaheen P,25-Nov,Sameer always provided good service with a smile on his face every single day. Honestly a pleasure to be staring at the Marriott Hotel here in Makkah
Michael,25-Nov,"I am very pleased with the excellent service provided by Mr. Samir and Mr. Mamunur Rashid. Their professionalism and kindness made every morning’s breakfast experience delightful. I am truly happy with their attention and hospitality. I would also like to compliment Chef Ahmed Ragab for preparing a fantastic cheese omelet. All of them are courteous, cheerful, and dedicated to ensuring guests feel comfortable. It is a pleasure to be here. Value Rooms Location Cleanliness Service Sleep Quality"
Mia s,25-Nov,Mamunr rashed mohammed Rashed Chef Ahmed ragab they were very good specially chef was fantastic mr rahab I Wish them best of luck Value Rooms Location Cleanliness Service Sleep Quality
Naaz A,25-Nov,"Excellent location and great ?? customer service ?????????? Rooms are spacious compared to other hotels, nice and clean Worthwhile for the money ?? Very clean and comfortable Service is very good quality 5/5 ?? Highly recommended this Hotel. The ambience and vibe of the place was sensational. Manger Sameer Fareed was helpful Staff Sameer Muhammad and hamza was also very good with his customer service. Can see mecca views from hotel. Value Rooms Location Cleanliness Service Sleep Quality"
Safia M,25-Nov,Thank you M.M. Rashid for the good service he helped us and had no shame .. The food is beautiful Service is excellent Allah is Good to you
Adventure32576964156,25-Nov,"Had a pleasant stay here. Room check in was smooth, beautiful and clean room. Food sedap Alhamdulillah. Room was upgraded to Haram view. Going to Haram was smooth thanks for the buggy and bus ride. Better take buggy ride, nearer to Haram entrance.Thanks for the great hospitality Value Rooms Location Cleanliness Service Sleep Quality"
